,0
2645,894
2646,1813
2647,932
2648,1849
2649,968
2650,1873
2651,1012
2652,1888
2653,1044
2654,1900
2655,1074
2656,1899
2657,1106
2658,1893
2659,1117
2660,1873
2661,1128
2662,1835
2663,1129
2664,1794
2665,1106
2666,1735
2667,1076
2668,1656
2669,1034
2670,1573
2671,968
2672,1471
2673,897
2674,1355
2675,809
2676,1240
2677,711
2678,1106
2679,618
2680,972
2681,512
2682,851
2683,415
2684,724
2685,327
2686,608
2687,239
2688,508
2689,173
2690,415
2691,115
2692,344
2693,65
2694,282
2695,41
2696,226
2697,16
2698,191
2699,-8
2700,161
2701,-3
2702,131
2703,2
2704,118
2705,18
2706,98
2707,35
2708,76
2709,35
2710,56
2711,31
2712,23
2713,26
2714,-15
2715,-7
2716,-54
2717,-41
2718,-107
2719,-71
2720,-156
2721,-130
